AvgDurEmp;AvgTimeFillVac;InvAdjTime;LabAdjTime;ManCycTime;MinOrdProTime;Productivity;SafStoCov;StdWorkWeek;VacAdjTime;WIPAdjTime;penalty
69.3596;4.3937;13.0265;12.3069;5.7513;2.713;0.3509;2.9962;40.3263;5.8683;8.8292;8.995783727
83.0551;9.1733;7.2486;11.2665;4.0219;2.9766;0.3598;2.5401;25.6511;5.5487;3.6641;11.32530756
51.8568;10.3145;17.1135;19.0838;5.0002;1.0517;0.2752;2.6541;27.0004;2.3275;3.2651;8.773916344
133.6647;8.4919;17.8105;22.0072;11.5418;2.8705;0.2123;1.0104;22.5754;3.9031;4.862;10.34991022
57.6538;5.3088;6.4109;28.3234;9.3029;1.2496;0.234;2.857;58.8334;2.1324;8.4745;10.84047143
122.3426;11.1216;13.5685;28.2675;7.2354;2.072;0.2163;1.7175;58.594;5.6191;3.1949;10.53299061
145.0203;4.0551;10.6244;13.0896;7.8182;2.6427;0.3633;1.1616;20.6693;3.9948;8.519;9.906233317
147.6488;4.5726;7.0489;15.0601;5.1781;2.8952;0.154;2.849;33.6558;5.8126;5.4065;10.96634278
97.5969;4.7056;13.3363;14.9031;11.3212;2.6572;0.3514;1.2242;58.2617;4.609;3.7788;10.65210328
59.9655;5.8349;6.1207;9.7504;5.3326;1.1921;0.3342;1.1182;47.722;4.8163;4.1517;11.13172532
84.2604;4.9976;17.2035;24.2356;11.9912;2.8875;0.2095;2.9757;24.1507;5.7891;6.4212;9.61336334
135.4137;10.8015;12.078;19.4832;7.6451;2.7485;0.1996;2.9114;59.1309;2.1032;8.9798;10.03945536
111.6585;8.2866;14.8269;26.1069;5.3859;1.5232;0.1687;1.5409;24.6419;2.301;7.8674;9.249599176
50.0792;11.6611;6.2547;24.1517;10.9758;1.0212;0.2941;1.3156;27.2662;5.3869;7.2835;12.23540257
139.2221;10.4953;9.3179;10.8951;4.1832;2.7695;0.2008;1.0221;38.5726;3.2744;3.7198;11.30600345
140.7191;11.6918;8.1342;17.8867;4.4679;1.0795;0.3748;2.9613;20.0322;4.1961;6.9576;10.95110221
124.8525;6.6317;15.2907;13.2543;10.6738;2.3963;0.1432;2.9407;41.1771;2.238;3.1053;11.4195002
64.3693;5.181;6.773;11.9352;11.6671;1.3273;0.3653;2.6321;22.788;2.6231;4.5796;11.95983989
93.7187;11.8536;17.8611;11.1489;4.1523;2.5957;0.2474;1.9203;29.9126;5.9908;8.2406;9.036879671
82.1746;11.3973;16.2661;13.1465;11.6944;1.3982;0.3432;1.3534;46.5808;2.3624;7.6219;9.721533122
142.2046;4.0367;6.0386;28.1633;6.2611;1.1735;0.3624;1.5699;44.9632;5.0413;8.8868;10.74541499
51.4662;5.3587;16.046;20.4639;6.8874;1.3543;0.1476;2.5652;59.8069;5.7046;6.8122;9.179725126
66.7612;4.4138;6.5904;16.5419;11.4465;2.8349;0.1367;1.3279;30.0924;2.6805;8.921;11.1078302
144.6049;6.2247;17.7153;14.3223;7.1231;1.0976;0.2899;1.2433;26.0372;4.9298;3.074;10.11186094
148.1017;11.599;7.0958;16.873;10.6013;1.7249;0.1255;1.9919;44.6312;5.8912;7.4147;12.22415082
76.745;6.9958;12.8802;26.7339;5.6148;2.7933;0.3605;2.3218;45.1819;2.2406;4.2452;9.14089095
